customernumber,contactfirstname,contactlastname,order_above_avg,order_below_avg
363,Dorothy,Young,16,18
128,Roland,Keitel,11,11
181,Michael,Frick,9,16
121,Jonas,Bergulfsen,16,16
141,Diego,Freyre,111,148
145,Jytte,Petersen,17,19
278,Giovanni,Rovelli,16,32
131,Kwai,Lee,18,31
385,Arnold,Cruz,10,16
486,Rosa,Salazar,11,12
187,Rachel,Ashworth,20,31
129,Julie,Murphy,9,12
144,Christina,Berglund,11,8
124,Susan,Nelson,80,100
172,Marie,Bertrand,13,10
424,Maria,Hernandez,10,10
381,Pascale,Cartrain,5,3
148,Eric,Natividad,22,21
216,Eduardo,Saavedra,9,14
382,Georg,Pipps,15,25
114,Peter,Ferguson,23,32
353,Paul,Henriot,14,27
350,Laurence,Lebihan,9,16
103,Carine,Schmitt,3,4
112,Jean,King,11,18
458,Mart�n,Sommer,15,17
151,Jeff,Young,25,23
324,Ann,Brown,13,13
198,Leslie,Taylor,3,5
447,Dan,Lewis,4,15
323,Mike,Graham,18,28
250,Daniel,Da Silva,11,9
242,Annette,Roulet,5,15
496,Tony,Snowden,15,33
282,Adrian,Huxley,16,30
161,Juri,Hashimoto,15,19
334,Kalle,Suominen,16,14
320,Wing,Huang,13,22
205,Julie,Young,14,16
379,Allen,Nelson,10,14
276,Anna,O'Hara,18,28
487,Sue,Taylor,7,8
311,Pirkko,Koskitalo,10,22
333,Ben,Calaghan,9,6
219,Mary,Young,1,2
186,Matti,Karttunen,13,17
473,Franco,Ricotti,3,5
321,Julie,Brown,20,21
347,Brian,Chandler,4,10
227,Palle,Ibsen,12,15
452,Roland,Mendel,8,7
462,Violeta,Benitez,14,12
448,Martha,Larsson,13,25
233,Jean,Fresni�re,9,13
175,Julie,King,12,13
386,Maurizio,Moroni,14,25
344,Jesus,Fernandez,5,8
171,Martine,Ranc�,7,13
167,Veysel,Oeztan,13,16
339,Francisca,Cervantes,7,14
484,Jos� Pedro,Roel,7,8
489,Thomas,Smith,3,9
211,Mike,Gao,4,12
259,Henriette,Pfalzheim,12,14
471,Sean,Clenahan,5,18
146,Mary,Saveley,17,24
319,Steve,Frick,9,17
455,Leslie,Murphy,11,6
475,Steve,Thompson,7,6
357,Wales,MacKinlay,11,15
202,Yoshi,Tamuri,6,16
495,Valarie,Franco,10,8
177,Mory,Kentary,7,13
406,Dominique,Perrier,11,16
256,Daniel,Tonini,8,10
166,Wendy,Victorino,12,24
189,Dean,Cassidy,8,8
314,Catherine,Dewey,9,16
239,Valarie,Thompson,10,15
298,Mihael,Holz,17,14
173,Jerry,Tseng,4,7
240,Helen,Bennett,9,17
328,William,Brown,12,9
412,Sarah,McRoy,13,16
260,Elizabeth,Lincoln,7,19
209,Fr�d�rique,Citeaux,10,9
456,Yu,Choi,5,5
450,Sue,Frick,16,24
201,Elizabeth,Devon,16,13
398,Akiko,Shimamura,17,15
362,Juri,Yoshido,13,13
157,Kelvin,Leong,14,17
119,Janine,Labrune,19,34
204,Miguel,Barajas,8,7
249,Paolo,Accorti,10,16
299,Jan,Klaeboe,7,17
286,Marta,Hernandez,12,15
415,Michael,Donnermeyer,1,13
